Load,PM10,PM2.5,DPM,NOx,SOx,CO,HC,CO2,N2O,CH4
1%,0.36,0.36,0.36,1.90,1.10,0.12,1.36,1.10,1.90,1.36
2%,0.37,0.37,0.37,1.86,1.10,0.12,1.32,1.10,1.86,1.32
3%,0.38,0.38,0.38,1.82,1.09,0.12,1.28,1.09,1.82,1.28
4%,0.38,0.38,0.38,1.78,1.09,0.12,1.24,1.09,1.78,1.24
5%,0.39,0.39,0.39,1.74,1.09,0.12,1.20,1.09,1.74,1.20
6%,0.40,0.40,0.40,1.70,1.08,0.12,1.17,1.08,1.70,1.17
7%,0.41,0.41,0.41,1.67,1.08,0.12,1.14,1.08,1.67,1.14
8%,0.41,0.41,0.41,1.63,1.08,0.12,1.11,1.08,1.63,1.11
9%,0.42,0.42,0.42,1.60,1.07,0.12,1.08,1.07,1.60,1.08
10%,0.43,0.43,0.43,1.57,1.07,0.12,1.05,1.07,1.57,1.05
11%,0.44,0.44,0.44,1.53,1.07,0.26,1.02,1.07,1.53,1.02
12%,0.45,0.45,0.45,1.50,1.07,0.39,0.99,1.07,1.50,0.99
13%,0.45,0.45,0.45,1.47,1.06,0.52,0.97,1.06,1.47,0.97
14%,0.46,0.46,0.46,1.45,1.06,0.64,0.94,1.06,1.45,0.94
15%,0.47,0.47,0.47,1.42,1.06,0.75,0.92,1.06,1.42,0.92
16%,0.48,0.48,0.48,1.39,1.06,0.85,0.90,1.06,1.39,0.90
17%,0.49,0.49,0.49,1.37,1.05,0.95,0.88,1.05,1.37,0.88
18%,0.49,0.49,0.49,1.34,1.05,1.04,0.86,1.05,1.34,0.86
19%,0.50,0.50,0.50,1.32,1.05,1.12,0.84,1.05,1.32,0.84
20%,0.51,0.51,0.51,1.30,1.05,1.20,0.82,1.05,1.30,0.82
21%,0.52,0.52,0.52,1.28,1.04,1.27,0.81,1.04,1.28,0.81
22%,0.53,0.53,0.53,1.26,1.04,1.34,0.79,1.04,1.26,0.79
23%,0.54,0.54,0.54,1.24,1.04,1.40,0.78,1.04,1.24,0.78
24%,0.54,0.54,0.54,1.22,1.04,1.46,0.76,1.04,1.22,0.76
25%,0.55,0.55,0.55,1.20,1.03,1.51,0.75,1.03,1.20,0.75
26%,0.56,0.56,0.56,1.19,1.03,1.55,0.74,1.03,1.19,0.74
27%,0.57,0.57,0.57,1.17,1.03,1.59,0.73,1.03,1.17,0.73
28%,0.58,0.58,0.58,1.16,1.03,1.63,0.72,1.03,1.16,0.72
29%,0.59,0.59,0.59,1.14,1.03,1.66,0.71,1.03,1.14,0.71
30%,0.60,0.60,0.60,1.13,1.02,1.68,0.70,1.02,1.13,0.70
31%,0.60,0.60,0.60,1.12,1.02,1.70,0.70,1.02,1.12,0.70
32%,0.61,0.61,0.61,1.10,1.02,1.72,0.69,1.02,1.10,0.69
33%,0.62,0.62,0.62,1.09,1.02,1.74,0.69,1.02,1.09,0.69
34%,0.63,0.63,0.63,1.08,1.02,1.75,0.68,1.02,1.08,0.68
35%,0.64,0.64,0.64,1.07,1.02,1.75,0.68,1.02,1.07,0.68
36%,0.65,0.65,0.65,1.06,1.01,1.75,0.68,1.01,1.06,0.68
37%,0.66,0.66,0.66,1.05,1.01,1.75,0.67,1.01,1.05,0.67
38%,0.67,0.67,0.67,1.05,1.01,1.75,0.67,1.01,1.05,0.67
39%,0.68,0.68,0.68,1.04,1.01,1.74,0.67,1.01,1.04,0.67
40%,0.69,0.69,0.69,1.03,1.01,1.73,0.67,1.01,1.03,0.67
41%,0.70,0.70,0.70,1.03,1.01,1.72,0.67,1.01,1.03,0.67
42%,0.70,0.70,0.70,1.02,1.01,1.71,0.68,1.01,1.02,0.68
43%,0.71,0.71,0.71,1.02,1.01,1.69,0.68,1.01,1.02,0.68
44%,0.72,0.72,0.72,1.01,1.00,1.67,0.68,1.00,1.01,0.68
45%,0.73,0.73,0.73,1.01,1.00,1.65,0.69,1.00,1.01,0.69
46%,0.74,0.74,0.74,1.00,1.00,1.62,0.69,1.00,1.00,0.69
47%,0.75,0.75,0.75,1.00,1.00,1.60,0.70,1.00,1.00,0.70
48%,0.76,0.76,0.76,1.00,1.00,1.57,0.70,1.00,1.00,0.70
49%,0.77,0.77,0.77,0.99,1.00,1.54,0.71,1.00,0.99,0.71
50%,0.78,0.78,0.78,0.99,1.00,1.51,0.71,1.00,0.99,0.71
51%,0.79,0.79,0.79,0.99,1.00,1.48,0.72,1.00,0.99,0.72
52%,0.80,0.80,0.80,0.99,1.00,1.45,0.73,1.00,0.99,0.73
53%,0.81,0.81,0.81,0.99,1.00,1.41,0.74,1.00,0.99,0.74
54%,0.82,0.82,0.82,0.99,1.00,1.38,0.75,1.00,0.99,0.75
55%,0.83,0.83,0.83,0.98,0.99,1.35,0.75,0.99,0.98,0.75
56%,0.84,0.84,0.84,0.98,0.99,1.31,0.76,0.99,0.98,0.76
57%,0.85,0.85,0.85,0.98,0.99,1.27,0.77,0.99,0.98,0.77
58%,0.86,0.86,0.86,0.98,0.99,1.24,0.78,0.99,0.98,0.78
59%,0.87,0.87,0.87,0.98,0.99,1.20,0.80,0.99,0.98,0.80
60%,0.88,0.88,0.88,0.98,0.99,1.16,0.81,0.99,0.98,0.81
61%,0.89,0.89,0.89,0.98,0.99,1.13,0.82,0.99,0.98,0.82
62%,0.90,0.90,0.90,0.98,0.99,1.09,0.83,0.99,0.98,0.83
63%,0.91,0.91,0.91,0.99,0.99,1.06,0.84,0.99,0.99,0.84
64%,0.92,0.92,0.92,0.99,0.99,1.02,0.85,0.99,0.99,0.85
65%,0.93,0.93,0.93,0.99,0.99,0.98,0.87,0.99,0.99,0.87
66%,0.94,0.94,0.94,0.99,0.99,0.95,0.88,0.99,0.99,0.88
67%,0.95,0.95,0.95,0.99,0.99,0.92,0.89,0.99,0.99,0.89
68%,0.97,0.97,0.97,0.99,0.99,0.88,0.91,0.99,0.99,0.91
69%,0.98,0.98,0.98,0.99,0.99,0.85,0.92,0.99,0.99,0.92
70%,0.99,0.99,0.99,0.99,0.99,0.82,0.93,0.99,0.99,0.93
71%,1.00,1.00,1.00,0.99,0.99,0.79,0.95,0.99,0.99,0.95
72%,1.01,1.01,1.01,0.99,0.99,0.76,0.96,0.99,0.99,0.96
73%,1.02,1.02,1.02,0.99,0.99,0.74,0.98,0.99,0.99,0.98
74%,1.03,1.03,1.03,0.99,0.99,0.71,0.99,0.99,0.99,0.99
75%,1.04,1.04,1.04,0.99,0.99,0.69,1.00,0.99,0.99,1.00
76%,1.05,1.05,1.05,0.99,0.99,0.66,1.02,0.99,0.99,1.02
77%,1.06,1.06,1.06,0.99,0.99,0.64,1.03,0.99,0.99,1.03
78%,1.07,1.07,1.07,0.99,0.99,0.63,1.05,0.99,0.99,1.05
79%,1.09,1.09,1.09,0.99,0.99,0.61,1.06,0.99,0.99,1.06
80%,1.10,1.10,1.10,0.99,0.99,0.60,1.08,0.99,0.99,1.08
81%,1.11,1.11,1.11,0.99,0.99,0.58,1.09,0.99,0.99,1.09
82%,1.12,1.12,1.12,0.99,0.99,0.57,1.10,0.99,0.99,1.10
83%,1.13,1.13,1.13,0.98,0.99,0.57,1.12,0.99,0.98,1.12
84%,1.14,1.14,1.14,0.98,0.99,0.56,1.13,0.99,0.98,1.13
85%,1.15,1.15,1.15,0.98,0.99,0.56,1.15,0.99,0.98,1.15
86%,1.16,1.16,1.16,0.98,0.99,0.56,1.16,0.99,0.98,1.16
87%,1.18,1.18,1.18,0.97,0.99,0.56,1.18,0.99,0.97,1.18
88%,1.19,1.19,1.19,0.97,0.99,0.57,1.19,0.99,0.97,1.19
89%,1.20,1.20,1.20,0.96,0.99,0.58,1.20,0.99,0.96,1.20
90%,1.21,1.21,1.21,0.96,0.99,0.59,1.22,0.99,0.96,1.22
91%,1.22,1.22,1.22,0.95,1.00,0.61,1.23,1.00,0.95,1.23
92%,1.23,1.23,1.23,0.95,1.00,0.63,1.24,1.00,0.95,1.24
93%,1.25,1.25,1.25,0.94,1.00,0.65,1.25,1.00,0.94,1.25
94%,1.26,1.26,1.26,0.93,1.00,0.67,1.27,1.00,0.93,1.27
95%,1.27,1.27,1.27,0.93,1.00,0.70,1.28,1.00,0.93,1.28
96%,1.28,1.28,1.28,0.92,1.00,0.73,1.29,1.00,0.92,1.29
97%,1.29,1.29,1.29,0.91,1.00,0.77,1.30,1.00,0.91,1.30
98%,1.31,1.31,1.31,0.90,1.00,0.81,1.31,1.00,0.90,1.31
99%,1.32,1.32,1.32,0.89,1.00,0.85,1.32,1.00,0.89,1.32
100%,1.33,1.33,1.33,0.88,1.00,0.90,1.34,1.00,0.88,1.34